model,domain,seed,method,ratio,calibration_tokens,calibration_positions,ppl,nll,predicted_tokens,windows,sequence_length
llama2_7b,c4,9,flap,0.5,262144,all_128x2048,14.53891302321456,904112.2814941406,337755,165,2048
llama2_7b,c4,9,sobp,0.5,262144,all_128x2048,13.763283769610082,885595.1130371094,337755,165,2048
llama2_7b,c4,9,fand,0.5,262144,all_128x2048,15.15492757334194,918128.107421875,337755,165,2048
llama2_7b,c4,9,slimllm,0.5,262144,all_128x2048,14.237884603571832,897045.646484375,337755,165,2048
llama2_7b,c4,9,wanda,0.5,262144,all_128x2048,14.942946086396429,913370.36328125,337755,165,2048
llama2_7b,wiki_train,0,fc_ls,0.2,262144,all_128x2048,6.123293606331318,612045.876953125,337755,165,2048
llama2_7b,wiki_train,0,flap,0.2,262144,all_128x2048,6.23045039353808,617905.4201660156,337755,165,2048
llama2_7b,wiki_train,0,sobp,0.2,262144,all_128x2048,6.196291090751461,616048.5368652344,337755,165,2048
llama2_7b,wiki_train,0,fand,0.2,262144,all_128x2048,6.292022516391976,621226.8823242188,337755,165,2048
llama2_7b,wiki_train,0,slimllm,0.2,262144,all_128x2048,6.36374720649162,625055.2756347656,337755,165,2048
llama2_7b,wiki_train,0,wanda,0.2,262144,all_128x2048,6.335124996240492,623532.7292480469,337755,165,2048
llama2_7b,wiki_train,0,fc_ls,0.3,262144,all_128x2048,6.707187845016144,642808.4812011719,337755,165,2048
llama2_7b,wiki_train,0,flap,0.3,262144,all_128x2048,6.9375857646801355,654215.8447265625,337755,165,2048
llama2_7b,wiki_train,0,sobp,0.3,262144,all_128x2048,6.754030806354396,645159.1611328125,337755,165,2048
llama2_7b,wiki_train,0,fand,0.3,262144,all_128x2048,7.203364059495597,666913.5095214844,337755,165,2048
llama2_7b,wiki_train,0,slimllm,0.3,262144,all_128x2048,7.2495855007651375,669073.8403320312,337755,165,2048
